date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:33	334/334	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Dec%202024%2016:50:33%20GMT	http://localhost/wordpress	C:/My%20Web%20Sites/portfolio/localhost/wordpress.0.delayed	(from )
22:20:33	295/295	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202024%2016:50:33%20GMT	http://localhost/robots.txt		(from )
22:20:38	147869/147869	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2016:50:33%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/portfolio/localhost/wordpress/index.html	(from )
22:20:38	43154/43154	---M--	200	added ('OK')	text/css	etag:%22a892-624e94c32afe9%22	http://localhost/wordpress/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.8.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/themes/astra/assets/css/minified/main.min7bcd.css	(from http://localhost/wordpress/)
22:20:40	53222/53222	---M--	200	added ('OK')	text/css	etag:%22cfe6-629eb148582e1%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.min7ac2.css	(from http://localhost/wordpress/)
22:20:42	5719/5719	---M--	200	added ('OK')	application/rss+xml	etag:%2267f47fc410a456987cfcb88a68bedc48%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/portfolio/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
22:20:42	733/733	---M--	200	added ('OK')	application/rss+xml	etag:%2267f47fc410a456987cfcb88a68bedc48%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/portfolio/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
22:20:42	1199/1199	---M--	200	added ('OK')	text/css	etag:%224af-629eb1773104d%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-469.css?ver=1734939547	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/uploads/elementor/css/post-469f2bd.css	(from http://localhost/wordpress/)
22:20:42	600/600	---M--	200	added ('OK')	text/css	etag:%22258-629eb1488d4dd%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-heading.min7ac2.css	(from http://localhost/wordpress/)
22:20:42	4298/4298	---M--	200	added ('OK')	text/css	etag:%2210ca-629eb148892bf%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-divider.min7ac2.css	(from http://localhost/wordpress/)
22:20:42	10310/10310	---M--	200	added ('OK')	text/css	etag:%222846-629eb1488d4dd%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-icon-list.min7ac2.css	(from http://localhost/wordpress/)
22:20:43	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-629eb148915fa%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-image.min7ac2.css	(from http://localhost/wordpress/)
22:20:43	704/704	---M--	200	added ('OK')	text/css	etag:%222c0-629eb148a5c7b%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-text-editor.min7ac2.css	(from http://localhost/wordpress/)
22:20:43	244/244	---M--	200	added ('OK')	text/css	etag:%22f4-629eb1491bbdf%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.min7ac2.css	(from http://localhost/wordpress/)
22:20:43	10071/10071	---M--	200	added ('OK')	text/css	etag:%222757-629eb1488d4dd%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-icon-box.min7ac2.css	(from http://localhost/wordpress/)
22:20:43	1229/1229	---M--	200	added ('OK')	text/css	etag:%224cd-629eb148a1bf7%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-progress.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-progress.min7ac2.css	(from http://localhost/wordpress/)
22:20:44	1409/1409	---M--	200	added ('OK')	text/css	etag:%22581-629eb148911fc%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-image-box.min.css?ver=3.26.3	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/plugins/elementor/assets/css/widget-image-box.min7ac2.css	(from http://localhost/wordpress/)
22:20:44	41653/41653	---M--	200	added ('OK')	text/css	etag:%22a2b5-629eb17760d85%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-468.css?ver=1734939547	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-content/uploads/elementor/css/post-468f2bd.css	(from http://localhost/wordpress/)
22:20:47	33400/33400	---MC-	200	added ('OK')	application/json	date:Mon,%2023%20Dec%202024%2016:50:44%20GMT	http://localhost/wordpress/wp-json/wp/v2/pages/468	C:/My%20Web%20Sites/portfolio/localhost/wordpress/wp-json/wp/v2/pages/468.json	(from http://localhost/wordpress/)
22:20:49	822/822	---M--	200	added ('OK')	text/xml	date:Mon,%2023%20Dec%202024%2016:50:46%20GMT	http://localhost/wordpress/xmlrpc.php?rsd	C:/My%20Web%20Sites/portfolio/localhost/wordpress/xmlrpc0db0.php	(from http://localhost/wordpress/)
